Team1,Score,Team2,Competition,Map,Date,Page,Team 1 Score,Team 2 Score,Winning Team,Losing Team,Margin,Total Rounds,Game Type
OneThree,14-16,LynnVision,EPICENTER2019ChinaQualifier,Dust2,2019-11-12,0,14,16,LynnVision,OneThree,2,30,16
OneThree,19-15,LynnVision,EPICENTER2019ChinaQualifier,Mirage,2019-11-12,0,19,15,OneThree,LynnVision,4,34,19
OneThree,16-14,LynnVision,EPICENTER2019ChinaQualifier,Inferno,2019-11-12,0,16,14,OneThree,LynnVision,2,30,16
EXTREMUM,5-16 ,Espada,LOOT.BETSeason5ClosedQualifier,Dust2,2019-11-12,0,5,16,Espada,EXTREMUM,11,21,16
EXTREMUM,13-16,Espada,LOOT.BETSeason5ClosedQualifier,Mirage,2019-11-12,0,13,16,Espada,EXTREMUM,3,29,16
SMASH,16-14,HellRaisers,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-12,0,16,14,SMASH,HellRaisers,2,30,16
SMASH,16-5 ,HellRaisers,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-12,0,16,5,SMASH,HellRaisers,11,21,16
Sprout,16-9 ,Illuminar,UnitedMastersLeagueSeason2,Nuke,2019-11-12,0,16,9,Sprout,Illuminar,7,25,16
Sprout,16-5 ,Illuminar,UnitedMastersLeagueSeason2,Train,2019-11-12,0,16,5,Sprout,Illuminar,11,21,16
IzakoBoars,18-22,SKADE,LOOT.BETSeason5ClosedQualifier,Mirage,2019-11-12,0,18,22,SKADE,IzakoBoars,4,40,22
IzakoBoars,13-16,SKADE,LOOT.BETSeason5ClosedQualifier,Train,2019-11-12,0,13,16,SKADE,IzakoBoars,3,29,16
TYLOO,22-18,LynnVision,EPICENTER2019ChinaQualifier,Vertigo,2019-11-12,0,22,18,TYLOO,LynnVision,4,40,22
TYLOO,10-16,LynnVision,EPICENTER2019ChinaQualifier,Dust2,2019-11-12,0,10,16,LynnVision,TYLOO,6,26,16
TYLOO,16-9 ,LynnVision,EPICENTER2019ChinaQualifier,Inferno,2019-11-12,0,16,9,TYLOO,LynnVision,7,25,16
OneThree,16-8 ,EHOME,EPICENTER2019ChinaQualifier,Mirage,2019-11-12,0,16,8,OneThree,EHOME,8,24,16
OneThree,13-16,EHOME,EPICENTER2019ChinaQualifier,Nuke,2019-11-12,0,13,16,EHOME,OneThree,3,29,16
OneThree,11-16,EHOME,EPICENTER2019ChinaQualifier,Train,2019-11-12,0,11,16,EHOME,OneThree,5,27,16
Isurus,16-14,REDCanids,BrasileirãoSeason1,Overpass,2019-11-12,0,16,14,Isurus,REDCanids,2,30,16
Isurus,12-16,REDCanids,BrasileirãoSeason1,Nuke,2019-11-12,0,12,16,REDCanids,Isurus,4,28,16
pro100,16-12,MovistarRiders,ESEAMDLSeason32Europe,Overpass,2019-11-12,0,16,12,pro100,MovistarRiders,4,28,16
pro100,14-16,MovistarRiders,ESEAMDLSeason32Europe,Vertigo,2019-11-12,0,14,16,MovistarRiders,pro100,2,30,16
pro100,22-20,MovistarRiders,ESEAMDLSeason32Europe,Mirage,2019-11-12,0,22,20,pro100,MovistarRiders,2,42,22
Nemiga,10-16,AVANGAR,ESEAMDLSeason32Europe,Inferno,2019-11-12,0,10,16,AVANGAR,Nemiga,6,26,16
Nemiga,16-13,AVANGAR,ESEAMDLSeason32Europe,Dust2,2019-11-12,0,16,13,Nemiga,AVANGAR,3,29,16
Nemiga,11-16,AVANGAR,ESEAMDLSeason32Europe,Overpass,2019-11-12,0,11,16,AVANGAR,Nemiga,5,27,16
Spirit,10-16,HAVU,ESEAMDLSeason32Europe,Nuke,2019-11-12,0,10,16,HAVU,Spirit,6,26,16
Spirit,16-9 ,HAVU,ESEAMDLSeason32Europe,Mirage,2019-11-12,0,16,9,Spirit,HAVU,7,25,16
Spirit,16-10,HAVU,ESEAMDLSeason32Europe,Dust2,2019-11-12,0,16,10,Spirit,HAVU,6,26,16
Keyd,16-10,W7M,BrasileirãoSeason1,Overpass,2019-11-12,0,16,10,Keyd,W7M,6,26,16
Keyd,10-16,W7M,BrasileirãoSeason1,Mirage,2019-11-12,0,10,16,W7M,Keyd,6,26,16
forZe,16-14,CR4ZY,ESEAMDLSeason32Europe,Mirage,2019-11-11,0,16,14,forZe,CR4ZY,2,30,16
forZe,16-7 ,CR4ZY,ESEAMDLSeason32Europe,Nuke,2019-11-11,0,16,7,forZe,CR4ZY,9,23,16
m1x,16-4 ,Heretics,QiBanjaLuka2019EuropeQualifier,Mirage,2019-11-11,0,16,4,m1x,Heretics,12,20,16
m1x,13-16,Heretics,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-11,0,13,16,Heretics,m1x,3,29,16
m1x,12-16,Heretics,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-11,0,12,16,Heretics,m1x,4,28,16
AVANGAR,8-16 ,CR4ZY,ESEAMDLSeason32Europe,Mirage,2019-11-11,0,8,16,CR4ZY,AVANGAR,8,24,16
AVANGAR,16-9 ,CR4ZY,ESEAMDLSeason32Europe,Train,2019-11-11,0,16,9,AVANGAR,CR4ZY,7,25,16
AVANGAR,14-16,CR4ZY,ESEAMDLSeason32Europe,Dust2,2019-11-11,0,14,16,CR4ZY,AVANGAR,2,30,16
MovistarRiders,14-16,HAVU,ESEAMDLSeason32Europe,Overpass,2019-11-11,0,14,16,HAVU,MovistarRiders,2,30,16
MovistarRiders,12-16,HAVU,ESEAMDLSeason32Europe,Train,2019-11-11,0,12,16,HAVU,MovistarRiders,4,28,16
Nemiga,15-19,forZe,ESEAMDLSeason32Europe,Dust2,2019-11-11,0,15,19,forZe,Nemiga,4,34,19
Nemiga,11-16,forZe,ESEAMDLSeason32Europe,Nuke,2019-11-11,0,11,16,forZe,Nemiga,5,27,16
Spirit,16-7 ,pro100,ESEAMDLSeason32Europe,Overpass,2019-11-11,0,16,7,Spirit,pro100,9,23,16
Spirit,16-13,pro100,ESEAMDLSeason32Europe,Mirage,2019-11-11,0,16,13,Spirit,pro100,3,29,16
Espada,16-4 ,SKADE,LOOT.BETSeason5ClosedQualifier,Dust2,2019-11-11,0,16,4,Espada,SKADE,12,20,16
Espada,9-16 ,SKADE,LOOT.BETSeason5ClosedQualifier,Nuke,2019-11-11,0,9,16,SKADE,Espada,7,25,16
Espada,10-16,SKADE,LOOT.BETSeason5ClosedQualifier,Mirage,2019-11-11,0,10,16,SKADE,Espada,6,26,16
CopenhagenFlames,16-7 ,Nordavind,QiBanjaLuka2019EuropeQualifier,Vertigo,2019-11-11,0,16,7,CopenhagenFlames,Nordavind,9,23,16
CopenhagenFlames,16-13,Nordavind,QiBanjaLuka2019EuropeQualifier,Inferno,2019-11-11,0,16,13,CopenhagenFlames,Nordavind,3,29,16
GambitYoungsters,16-8 ,Winstrike,QiBanjaLuka2019EuropeQualifier,Vertigo,2019-11-11,0,16,8,GambitYoungsters,Winstrike,8,24,16
GambitYoungsters,16-5 ,Winstrike,QiBanjaLuka2019EuropeQualifier,Dust2,2019-11-11,0,16,5,GambitYoungsters,Winstrike,11,21,16
EXTREMUM,9-16 ,IzakoBoars,LOOT.BETSeason5ClosedQualifier,Train,2019-11-11,0,9,16,IzakoBoars,EXTREMUM,7,25,16
EXTREMUM,16-19,IzakoBoars,LOOT.BETSeason5ClosedQualifier,Dust2,2019-11-11,0,16,19,IzakoBoars,EXTREMUM,3,35,19
INTZ,16-3 ,Triumph,ESEAMDLSeason32NorthAmerica,Vertigo,2019-11-11,0,16,3,INTZ,Triumph,13,19,16
INTZ,16-7 ,Triumph,ESEAMDLSeason32NorthAmerica,Mirage,2019-11-11,0,16,7,INTZ,Triumph,9,23,16
Keyd,16-9 ,RedemptionPOA,NESTPro:SAQualifier,Inferno,2019-11-11,0,16,9,Keyd,RedemptionPOA,7,25,16
Keyd,7-16 ,RedemptionPOA,NESTPro:SAQualifier,Train,2019-11-11,0,7,16,RedemptionPOA,Keyd,9,23,16
Keyd,16-8 ,RedemptionPOA,NESTPro:SAQualifier,Vertigo,2019-11-11,0,16,8,Keyd,RedemptionPOA,8,24,16
Triumph,19-15,Rugratz,ESEAMDLSeason32NorthAmerica,Vertigo,2019-11-11,0,19,15,Triumph,Rugratz,4,34,19
Triumph,16-13,Rugratz,ESEAMDLSeason32NorthAmerica,Mirage,2019-11-11,0,16,13,Triumph,Rugratz,3,29,16
DUSTY,16-4 ,seven,IcelandicEsportsLeagueSeason2Finals,Mirage,2019-11-11,0,16,4,DUSTY,seven,12,20,16
DUSTY,16-12,seven,IcelandicEsportsLeagueSeason2Finals,Overpass,2019-11-11,0,16,12,DUSTY,seven,4,28,16
Doit,16-19,Farm_ValutbI,BattleoftheCities,Train,2019-11-10,0,16,19,Farm_ValutbI,Doit,3,35,19
Doit,13-16,Farm_ValutbI,BattleoftheCities,Nuke,2019-11-10,0,13,16,Farm_ValutbI,Doit,3,29,16
OFFSET,9-16 ,MovistarRiders,DreamHackOpenSevilla2019IberiaQualifier,Inferno,2019-11-10,0,9,16,MovistarRiders,OFFSET,7,25,16
OFFSET,12-16,MovistarRiders,DreamHackOpenSevilla2019IberiaQualifier,Vertigo,2019-11-10,0,12,16,MovistarRiders,OFFSET,4,28,16
MovistarRiders,16-5 ,Cream,DreamHackOpenSevilla2019IberiaQualifier,Mirage,2019-11-10,0,16,5,MovistarRiders,Cream,11,21,16
MovistarRiders,19-15,Cream,DreamHackOpenSevilla2019IberiaQualifier,Inferno,2019-11-10,0,19,15,MovistarRiders,Cream,4,34,19
SMASH,10-16,BIG,UnitedMastersLeagueSeason2,Inferno,2019-11-10,0,10,16,BIG,SMASH,6,26,16
SMASH,5-16 ,BIG,UnitedMastersLeagueSeason2,Nuke,2019-11-10,0,5,16,BIG,SMASH,11,21,16
Japaleno,19-17,forZe,ESEAMDLSeason32Europe,inf,2019-11-10,0,19,17,Japaleno,forZe,2,36,19
ECLOT,14-16,eXtatus,CzechChampionship2019,Inferno,2019-11-10,0,14,16,eXtatus,ECLOT,2,30,16
ECLOT,8-16 ,eXtatus,CzechChampionship2019,Mirage,2019-11-10,0,8,16,eXtatus,ECLOT,8,24,16
OFFSET,16-12,x6tence,DreamHackOpenSevilla2019IberiaQualifier,Dust2,2019-11-10,0,16,12,OFFSET,x6tence,4,28,16
OFFSET,16-13,x6tence,DreamHackOpenSevilla2019IberiaQualifier,Overpass,2019-11-10,0,16,13,OFFSET,x6tence,3,29,16
HAVU,16-12,HardLegion,UnitedMastersLeagueSeason2,Mirage,2019-11-10,0,16,12,HAVU,HardLegion,4,28,16
HAVU,16-6 ,HardLegion,UnitedMastersLeagueSeason2,Train,2019-11-10,0,16,6,HAVU,HardLegion,10,22,16
Universe,13-16,Brute,CzechChampionship2019,Dust2,2019-11-10,0,13,16,Brute,Universe,3,29,16
Universe,16-10,Brute,CzechChampionship2019,Overpass,2019-11-10,0,16,10,Universe,Brute,6,26,16
Universe,16-8 ,Brute,CzechChampionship2019,Inferno,2019-11-10,0,16,8,Universe,Brute,8,24,16
100Thieves,14-16,Astralis,IEMBeijing2019,Vertigo,2019-11-10,0,14,16,Astralis,100Thieves,2,30,16
100Thieves,5-16 ,Astralis,IEMBeijing2019,Nuke,2019-11-10,0,5,16,Astralis,100Thieves,11,21,16
100Thieves,3-16 ,Astralis,IEMBeijing2019,Train,2019-11-10,0,3,16,Astralis,100Thieves,13,19,16
somebody'sSomebodies,15-16,zhokiNgWarriors,ShowmatchCS:GO,-,2019-11-10,0,15,16,zhokiNgWarriors,somebody'sSomebodies,1,31,16
Ben'sAnimeTeam,15-19,Triumph,ESEAMDLSeason32NorthAmerica,Overpass,2019-11-10,0,15,19,Triumph,Ben'sAnimeTeam,4,34,19
Ben'sAnimeTeam,16-14,Triumph,ESEAMDLSeason32NorthAmerica,Nuke,2019-11-10,0,16,14,Ben'sAnimeTeam,Triumph,2,30,16
Ben'sAnimeTeam,17-19,Triumph,ESEAMDLSeason32NorthAmerica,Mirage,2019-11-10,0,17,19,Triumph,Ben'sAnimeTeam,2,36,19
