Team1,Score,Team2,Competition,Map
Syman,13-16,SJ,NESTPro:EU&CISQualifier,Dust2
Syman,13-16,SJ,NESTPro:EU&CISQualifier,Dust2
pro100,16-13,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
pro100,11-16,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Inferno
pro100,16-5 ,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
pro100,16-5 ,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
IzakoBoars,16-12,Unique,AlienwareGameArena2019Split3,Vertigo
IzakoBoars,16-8 ,Unique,AlienwareGameArena2019Split3,Nuke
IzakoBoars,16-8 ,Unique,AlienwareGameArena2019Split3,Nuke
Se7en,4-16 ,SJ,LBETInvitational,Dust2
Se7en,4-16 ,SJ,LBETInvitational,Nuke
Se7en,4-16 ,SJ,LBETInvitational,Nuke
TeamToxic,12-16,TeamSqueaky,ShowmatchCS:GO,cch
Se7en,7-16 ,PACT,LOOT.BETSeason4,Dust2
Se7en,34-32,PACT,LOOT.BETSeason4,Nuke
Se7en,18-22,PACT,LOOT.BETSeason4,Inferno
Se7en,18-22,PACT,LOOT.BETSeason4,Inferno
GambitYoungsters,16-13,ex-Epsilon,MSIMGA2019Finals,mrg
Sinister5,11-16,Goliath,MettlestateROGInvitational,Dust2
Sinister5,9-16 ,Goliath,MettlestateROGInvitational,Inferno
Sinister5,9-16 ,Goliath,MettlestateROGInvitational,Inferno
Royalty,7-16 ,OneWay,GameCupCEE2019,Train
Royalty,12-16,OneWay,GameCupCEE2019,Inferno
Royalty,12-16,OneWay,GameCupCEE2019,Inferno
BOOM,2-16 ,BTRG,WESG2019IndonesiaRegionalFinals,Mirage
BOOM,12-16,BTRG,WESG2019IndonesiaRegionalFinals,Nuke
BOOM,12-16,BTRG,WESG2019IndonesiaRegionalFinals,Nuke
OneThree,16-11,SKADE,LBETInvitational,Inferno
OneThree,9-16 ,SKADE,LBETInvitational,Overpass
OneThree,16-4 ,SKADE,LBETInvitational,Mirage
OneThree,16-4 ,SKADE,LBETInvitational,Mirage
Goliath,12-16,Energy,MettlestateROGInvitational,Inferno
Goliath,16-13,Energy,MettlestateROGInvitational,Overpass
Goliath,16-10,Energy,MettlestateROGInvitational,Mirage
Goliath,16-10,Energy,MettlestateROGInvitational,Mirage
HauntedFamilly,1-16,OneWay,GameCupCEE2019,d2
OG,11-16,OneWay,GameCupCEE2019,d2
Energy,16-19,Big5,MettlestateROGInvitational,Inferno
Energy,16-13,Big5,MettlestateROGInvitational,Overpass
Energy,16-8 ,Big5,MettlestateROGInvitational,Train
Energy,16-8 ,Big5,MettlestateROGInvitational,Train
AlphaRed,16-7 ,Beyond,OMENChallengerSeries2019ThailandQualifier,Vertigo
AlphaRed,16-8 ,Beyond,OMENChallengerSeries2019ThailandQualifier,Mirage
AlphaRed,16-8 ,Beyond,OMENChallengerSeries2019ThailandQualifier,Mirage
BOOT,10-16,LaZe,OMENChallengerSeries2019SingaporeQualifier,Mirage
BOOT,16-10,LaZe,OMENChallengerSeries2019SingaporeQualifier,Nuke
BOOT,16-10,LaZe,OMENChallengerSeries2019SingaporeQualifier,Train
BOOT,16-10,LaZe,OMENChallengerSeries2019SingaporeQualifier,Train
Bren,16-7 ,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Mirage
Bren,16-12,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Train
Bren,16-12,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Train
Maple,9-16 ,Beyond,OMENChallengerSeries2019ThailandQualifier,Inferno
Maple,16-9 ,Beyond,OMENChallengerSeries2019ThailandQualifier,Mirage
Maple,11-16,Beyond,OMENChallengerSeries2019ThailandQualifier,Nuke
Maple,11-16,Beyond,OMENChallengerSeries2019ThailandQualifier,Nuke
Chiefs,7-16 ,ORDER,ESLAustralia&NZChampionshipSeason9Finals,Inferno
Chiefs,5-16 ,ORDER,ESLAustralia&NZChampionshipSeason9Finals,Dust2
Chiefs,5-16 ,ORDER,ESLAustralia&NZChampionshipSeason9Finals,Dust2
AlphaRed,16-6 ,Xavier,OMENChallengerSeries2019ThailandQualifier,Overpass
AlphaRed,16-7 ,Xavier,OMENChallengerSeries2019ThailandQualifier,Dust2
AlphaRed,16-7 ,Xavier,OMENChallengerSeries2019ThailandQualifier,Dust2
PeppaPigs,19-22,LaZe,OMENChallengerSeries2019SingaporeQualifier,Nuke
PeppaPigs,16-19,LaZe,OMENChallengerSeries2019SingaporeQualifier,Mirage
PeppaPigs,16-19,LaZe,OMENChallengerSeries2019SingaporeQualifier,Mirage
SEDNA,12-16,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Overpass
SEDNA,6-16 ,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Inferno
SEDNA,6-16 ,Fallen5,OMENChallengerSeries2019PhillipinesQualifier,Inferno
BOOT,16-7 ,JavsrieN,OMENChallengerSeries2019SingaporeQualifier,Vertigo
BOOT,16-13,JavsrieN,OMENChallengerSeries2019SingaporeQualifier,Mirage
BOOT,16-13,JavsrieN,OMENChallengerSeries2019SingaporeQualifier,Mirage
Bren,16-1 ,ENCHANTPOISON,OMENChallengerSeries2019PhillipinesQualifier,Train
Bren,16-3 ,ENCHANTPOISON,OMENChallengerSeries2019PhillipinesQualifier,Inferno
Bren,16-3 ,ENCHANTPOISON,OMENChallengerSeries2019PhillipinesQualifier,Inferno
EvilGeniuses,16-8 ,G2,ESLOneNewYork2019,Dust2
EvilGeniuses,16-7 ,G2,ESLOneNewYork2019,Nuke
EvilGeniuses,16-7 ,G2,ESLOneNewYork2019,Nuke
Heretics,16-3 ,Sprout,StarSeriesi-LeagueSeason8EuropeQualifier,Dust2
Heretics,10-16,Sprout,StarSeriesi-LeagueSeason8EuropeQualifier,Inferno
Heretics,13-16,Sprout,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
Heretics,13-16,Sprout,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
ex-Epsilon,16-2,ViCi,MSIMGA2019Finals,mrg
Liquid,9-16 ,Astralis,ESLOneNewYork2019,Vertigo
Liquid,16-9 ,Astralis,ESLOneNewYork2019,Dust2
Liquid,13-16,Astralis,ESLOneNewYork2019,Overpass
Liquid,13-16,Astralis,ESLOneNewYork2019,Overpass
PACT,16-9 ,Unique,AlienwareGameArena2019Split3,Vertigo
PACT,12-16,Unique,AlienwareGameArena2019Split3,Train
PACT,3-16 ,Unique,AlienwareGameArena2019Split3,Nuke
PACT,3-16 ,Unique,AlienwareGameArena2019Split3,Nuke
Asterion,16-5 ,OneOne,DreamHackOpenRotterdam2019BeneluxQualifier,Mirage
Asterion,16-5 ,OneOne,DreamHackOpenRotterdam2019BeneluxQualifier,Inferno
Asterion,16-5 ,OneOne,DreamHackOpenRotterdam2019BeneluxQualifier,Inferno
ViCi,16-14,RiotSquad,MSIMGA2019Finals,inf
Sprout,13-16,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Nuke
Sprout,19-16,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Inferno
Sprout,13-16,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Train
Sprout,13-16,MovistarRiders,StarSeriesi-LeagueSeason8EuropeQualifier,Train
OneOne,22-19,Defusekids,DreamHackOpenRotterdam2019BeneluxQualifier,inf
Yalla,6-16 ,Demise,eXTREMESLAND2019MiddleEastRegionalFinals,Nuke
Yalla,8-16 ,Demise,eXTREMESLAND2019MiddleEastRegionalFinals,Inferno
Yalla,8-16 ,Demise,eXTREMESLAND2019MiddleEastRegionalFinals,Inferno
GambitYoungsters,16-11,ex-Epsilon,MSIMGA2019Finals,d2
Goliath,11-16,Sinister5,MettlestateROGInvitational,nuke
Epsilon,10-16,Asterion,DreamHackOpenRotterdam2019BeneluxQualifier,mrg
RiotSquad,14-16,ex-Epsilon,MSIMGA2019Finals,trn
Asterion,16-5,Dogs,DreamHackOpenRotterdam2019BeneluxQualifier,ovp
Epsilon,19-16,rashB,DreamHackOpenRotterdam2019BeneluxQualifier,inf
SectorOne,13-16,Defusekids,DreamHackOpenRotterdam2019BeneluxQualifier,nuke
Yalla,16-14,DivineVendetta,eXTREMESLAND2019MiddleEastRegionalFinals,Inferno
Yalla,16-14,DivineVendetta,eXTREMESLAND2019MiddleEastRegionalFinals,Dust2
Yalla,16-14,DivineVendetta,eXTREMESLAND2019MiddleEastRegionalFinals,Dust2
OneOne,16-11,JoinTheForce,DreamHackOpenRotterdam2019BeneluxQualifier,inf
Se7en,16-19,SKADE,LOOT.BETSeason4,Inferno
Se7en,20-22,SKADE,LOOT.BETSeason4,Nuke
Se7en,20-22,SKADE,LOOT.BETSeason4,Nuke
Heretics,11-16,pro100,StarSeriesi-LeagueSeason8EuropeQualifier,Train
Heretics,19-17,pro100,StarSeriesi-LeagueSeason8EuropeQualifier,Inferno
Heretics,12-16,pro100,StarSeriesi-LeagueSeason8EuropeQualifier,Dust2
Heretics,12-16,pro100,StarSeriesi-LeagueSeason8EuropeQualifier,Dust2
IzakoBoars,16-7 ,ECLOT,AlienwareGameArena2019Split3,Train
IzakoBoars,16-8 ,ECLOT,AlienwareGameArena2019Split3,Mirage
IzakoBoars,16-8 ,ECLOT,AlienwareGameArena2019Split3,Mirage
ViCi,11-16,GambitYoungsters,MSIMGA2019Finals,ovp
SJ,19-17,adwokacik,LBETInvitational,Vertigo
SJ,16-11,adwokacik,LBETInvitational,Inferno
SJ,16-11,adwokacik,LBETInvitational,Inferno
HauntedFamilly,10-16,Royalty,GameCupCEE2019,Overpass
HauntedFamilly,10-16,Royalty,GameCupCEE2019,Train
HauntedFamilly,10-16,Royalty,GameCupCEE2019,Train
Demise,16-10,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,Vertigo
Demise,16-12,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,Dust2
Demise,16-12,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,Dust2
SJ,16-14,adwokacik,LOOT.BETSeason4,Train
SJ,16-11,adwokacik,LOOT.BETSeason4,Nuke
SJ,16-11,adwokacik,LOOT.BETSeason4,Nuke
ahq,1-3,ENZO,eXTREMESLAND2019TW/HK/MORegionalFinals,bo5
Espada,12-16,SKADE,LBETInvitational,Overpass
Espada,12-16,SKADE,LBETInvitational,Mirage
Espada,12-16,SKADE,LBETInvitational,Mirage
JiJieHao,14-16,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Mirage
JiJieHao,16-11,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Nuke
JiJieHao,6-16 ,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
JiJieHao,6-16 ,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
BL4ZE,7-16 ,Umumba,TaiwanExcellenceGamingCup2019India,Dust2
BL4ZE,16-19,Umumba,TaiwanExcellenceGamingCup2019India,Overpass
BL4ZE,16-19,Umumba,TaiwanExcellenceGamingCup2019India,Overpass
DivineVendetta,16-13,Fraggerz,eXTREMESLAND2019MiddleEastRegionalFinals,mrg
Syntax,19-15,BTRG,WESG2019IndonesiaRegionalFinals,Overpass
Syntax,14-16,BTRG,WESG2019IndonesiaRegionalFinals,Mirage
Syntax,11-16,BTRG,WESG2019IndonesiaRegionalFinals,Inferno
Syntax,11-16,BTRG,WESG2019IndonesiaRegionalFinals,Inferno
NASR,17-19,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,d2
Invictus,16-12,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Nuke
Invictus,16-13,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
Invictus,16-13,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
Chiefs,16-3 ,GroundZero,ESLAustralia&NZChampionshipSeason9Finals,Mirage
Chiefs,19-16,GroundZero,ESLAustralia&NZChampionshipSeason9Finals,Dust2
Chiefs,19-16,GroundZero,ESLAustralia&NZChampionshipSeason9Finals,Dust2
Fraggerz,16-6,PortalBlue,eXTREMESLAND2019MiddleEastRegionalFinals,mrg
TYLOO,12-16,5POWER,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
TYLOO,16-13,5POWER,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
TYLOO,13-16,5POWER,StarSeriesi-LeagueSeason8AsiaQualifier,Overpass
TYLOO,13-16,5POWER,StarSeriesi-LeagueSeason8AsiaQualifier,Overpass
VICTIM,9-16 ,BOOM,WESG2019IndonesiaRegionalFinals,Inferno
VICTIM,4-16 ,BOOM,WESG2019IndonesiaRegionalFinals,Mirage
VICTIM,4-16 ,BOOM,WESG2019IndonesiaRegionalFinals,Mirage
ORDER,7-16 ,AVANT,ESLAustralia&NZChampionshipSeason9Finals,Dust2
ORDER,16-12,AVANT,ESLAustralia&NZChampionshipSeason9Finals,Inferno
ORDER,16-11,AVANT,ESLAustralia&NZChampionshipSeason9Finals,Mirage
ORDER,16-11,AVANT,ESLAustralia&NZChampionshipSeason9Finals,Mirage
Umumba,16-9,JHS,TaiwanExcellenceGamingCup2019India,mrg
OpTic,6-16 ,Astralis,ESLOneNewYork2019,Nuke
OpTic,7-16 ,Astralis,ESLOneNewYork2019,Dust2
OpTic,7-16 ,Astralis,ESLOneNewYork2019,Dust2
EZ5,14-16,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,ovp
adwokacik,10-16,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Inferno
adwokacik,16-13,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
adwokacik,14-16,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Dust2
adwokacik,14-16,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Dust2
ENCE,17-19,G2,ESLOneNewYork2019,Dust2
ENCE,16-11,G2,ESLOneNewYork2019,Nuke
ENCE,11-16,G2,ESLOneNewYork2019,Overpass
ENCE,11-16,G2,ESLOneNewYork2019,Overpass
Demise,16-12,DivineVendetta,eXTREMESLAND2019MiddleEastRegionalFinals,d2
LyngbyVikings,16-8 ,Nordavind,NESTPro:EU&CISQualifier,Inferno
LyngbyVikings,12-16,Nordavind,NESTPro:EU&CISQualifier,Vertigo
LyngbyVikings,4-16 ,Nordavind,NESTPro:EU&CISQualifier,Dust2
LyngbyVikings,4-16 ,Nordavind,NESTPro:EU&CISQualifier,Dust2
HAVU,16-12,Espada,SECTOR:MOSTBET,Train
HAVU,16-6 ,Espada,SECTOR:MOSTBET,Vertigo
HAVU,16-6 ,Espada,SECTOR:MOSTBET,Vertigo
NASR,9-16,Yalla,eXTREMESLAND2019MiddleEastRegionalFinals,inf
Aristocracy,16-13,GamerLegion,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
Aristocracy,16-10,GamerLegion,StarSeriesi-LeagueSeason8EuropeQualifier,Vertigo
Aristocracy,16-10,GamerLegion,StarSeriesi-LeagueSeason8EuropeQualifier,Vertigo
DivineVendetta,16-12,Fraggerz,eXTREMESLAND2019MiddleEastRegionalFinals,mrg
Astralis,14-16,EvilGeniuses,ESLOneNewYork2019,Dust2
Astralis,12-16,EvilGeniuses,ESLOneNewYork2019,Inferno
Astralis,12-16,EvilGeniuses,ESLOneNewYork2019,Inferno
OpTic,16-11,FaZe,ESLOneNewYork2019,Nuke
OpTic,16-8 ,FaZe,ESLOneNewYork2019,Dust2
OpTic,16-8 ,FaZe,ESLOneNewYork2019,Dust2
Yalla,16-13,EZ5,eXTREMESLAND2019MiddleEastRegionalFinals,inf
HAVU,16-9 ,PACT,LOOT.BETSeason4,Dust2
HAVU,16-13,PACT,LOOT.BETSeason4,Vertigo
HAVU,16-13,PACT,LOOT.BETSeason4,Vertigo
OneThree,16-5 ,adwokacik,LBETInvitational,Inferno
OneThree,12-16,adwokacik,LBETInvitational,Mirage
OneThree,16-5 ,adwokacik,LBETInvitational,Train
OneThree,16-5 ,adwokacik,LBETInvitational,Train
GamerLegion,22-18,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
GamerLegion,16-7 ,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
GamerLegion,16-7 ,Nemiga,StarSeriesi-LeagueSeason8EuropeQualifier,Overpass
Demise,16-2,PortalBlue,eXTREMESLAND2019MiddleEastRegionalFinals,inf
Nordavind,14-16,Heretics,LOOT.BETSeason4,Inferno
Nordavind,16-6 ,Heretics,LOOT.BETSeason4,Vertigo
Nordavind,16-8 ,Heretics,LOOT.BETSeason4,Mirage
Nordavind,16-8 ,Heretics,LOOT.BETSeason4,Mirage
LynnVision,16-3 ,BTRG,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
LynnVision,16-6 ,BTRG,StarSeriesi-LeagueSeason8AsiaQualifier,Mirage
LynnVision,16-6 ,BTRG,StarSeriesi-LeagueSeason8AsiaQualifier,Mirage
CopenhagenFlames,16-11,SJ,LBETInvitational,Mirage
CopenhagenFlames,8-16 ,SJ,LBETInvitational,Inferno
CopenhagenFlames,7-16 ,SJ,LBETInvitational,Train
CopenhagenFlames,7-16 ,SJ,LBETInvitational,Train
NASR,16-10,Darkside,eXTREMESLAND2019MiddleEastRegionalFinals,mrg
AUGUST,14-16,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Overpass
AUGUST,17-19,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
AUGUST,17-19,EHOME,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
BL4ZE,16-12,Umumba,TaiwanExcellenceGamingCup2019India,vtg
5POWER,16-7 ,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
5POWER,16-3 ,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Nuke
5POWER,16-3 ,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Nuke
TYLOO,16-9 ,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
TYLOO,16-11,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Train
TYLOO,16-11,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Train
TeamOne,16-6,LiviD,ESEAMDLSeason32NorthAmerica,mrg
Peeker'sAdvantage,14-16,Ascent,ESEAMDLSeason32NorthAmerica,inf
NewIdentity,16-12,MAC-51,ESEAMDLSeason32NorthAmerica,d2
LiviD,16-10,BigFrames,ESEAMDLSeason32NorthAmerica,trn
Liquid,16-3 ,G2,ESLOneNewYork2019,Dust2
Liquid,17-19,G2,ESLOneNewYork2019,Inferno
Liquid,16-8 ,G2,ESLOneNewYork2019,Overpass
Liquid,16-8 ,G2,ESLOneNewYork2019,Overpass
TheQuest,16-9,Peeker'sAdvantage,ESEAMDLSeason32NorthAmerica,inf
eUnited,12-16,ENCE,ESLOneNewYork2019,Overpass
eUnited,10-16,ENCE,ESLOneNewYork2019,Train
eUnited,10-16,ENCE,ESLOneNewYork2019,Train
SJ,13-16,HAVU,OGACounterPITbyAMDandSapphireSeason6,Inferno
SJ,10-16,HAVU,OGACounterPITbyAMDandSapphireSeason6,Dust2
SJ,10-16,HAVU,OGACounterPITbyAMDandSapphireSeason6,Dust2
FaZe,12-16,EvilGeniuses,ESLOneNewYork2019,Nuke
FaZe,6-16 ,EvilGeniuses,ESLOneNewYork2019,Vertigo
FaZe,6-16 ,EvilGeniuses,ESLOneNewYork2019,Vertigo
SMASH,16-10,Illuminar,EuropeanChampionsCup,Nuke
SMASH,12-16,Illuminar,EuropeanChampionsCup,Vertigo
SMASH,16-5 ,Illuminar,EuropeanChampionsCup,Overpass
SMASH,16-5 ,Illuminar,EuropeanChampionsCup,Overpass
AGF,11-16,CopenhagenFlames,POWERLigaenSeason11,Dust2
AGF,16-14,CopenhagenFlames,POWERLigaenSeason11,Mirage
AGF,5-16 ,CopenhagenFlames,POWERLigaenSeason11,Nuke
AGF,5-16 ,CopenhagenFlames,POWERLigaenSeason11,Nuke
Astralis,16-14,OpTic,ESLOneNewYork2019,Vertigo
Astralis,16-1 ,OpTic,ESLOneNewYork2019,Dust2
Astralis,16-1 ,OpTic,ESLOneNewYork2019,Dust2
HAVU,12-16,Nemiga,OGACounterPITbyAMDandSapphireSeason6,Inferno
HAVU,16-10,Nemiga,OGACounterPITbyAMDandSapphireSeason6,Dust2
HAVU,16-11,Nemiga,OGACounterPITbyAMDandSapphireSeason6,Nuke
HAVU,16-11,Nemiga,OGACounterPITbyAMDandSapphireSeason6,Nuke
SKADE,8-16 ,Se7en,LBETInvitational,Dust2
SKADE,16-10,Se7en,LBETInvitational,Inferno
SKADE,6-16 ,Se7en,LBETInvitational,Mirage
SKADE,6-16 ,Se7en,LBETInvitational,Mirage
adwokacik,13-16,Aristocracy,StarSeriesi-LeagueSeason8EuropeQualifier,Nuke
adwokacik,6-16 ,Aristocracy,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
adwokacik,6-16 ,Aristocracy,StarSeriesi-LeagueSeason8EuropeQualifier,Mirage
G2,19-17,ENCE,ESLOneNewYork2019,Dust2
G2,16-14,ENCE,ESLOneNewYork2019,Nuke
G2,16-14,ENCE,ESLOneNewYork2019,Nuke
Illuminar,16-19,GamerLegion,EuropeanChampionsCup,Vertigo
Illuminar,16-13,GamerLegion,EuropeanChampionsCup,Mirage
Illuminar,10-16,GamerLegion,EuropeanChampionsCup,Inferno
Illuminar,10-16,GamerLegion,EuropeanChampionsCup,Inferno
Liquid,16-12,eUnited,ESLOneNewYork2019,Overpass
Liquid,16-3 ,eUnited,ESLOneNewYork2019,Mirage
Liquid,16-3 ,eUnited,ESLOneNewYork2019,Mirage
CopenhagenFlames,14-16,Nemiga,NESTPro:EU&CISQualifier,Inferno
CopenhagenFlames,16-8 ,Nemiga,NESTPro:EU&CISQualifier,Vertigo
CopenhagenFlames,14-16,Nemiga,NESTPro:EU&CISQualifier,Nuke
CopenhagenFlames,14-16,Nemiga,NESTPro:EU&CISQualifier,Nuke
Heretics,17-19,Espada,LBETInvitational,Vertigo
Heretics,9-16 ,Espada,LBETInvitational,Dust2
Heretics,9-16 ,Espada,LBETInvitational,Dust2
5orgless,10-16,NASR,OMENChallengerSeries2019IndiaQualifier,Dust2
5orgless,13-16,NASR,OMENChallengerSeries2019IndiaQualifier,Train
5orgless,13-16,NASR,OMENChallengerSeries2019IndiaQualifier,Train
MovistarRiders,12-16,SMASH,EuropeanChampionsCup,Nuke
MovistarRiders,17-19,SMASH,EuropeanChampionsCup,Inferno
MovistarRiders,17-19,SMASH,EuropeanChampionsCup,Inferno
Unique,16-6 ,Japaleno,LOOT.BETSeason4,Overpass
Unique,19-17,Japaleno,LOOT.BETSeason4,Train
Unique,19-17,Japaleno,LOOT.BETSeason4,Train
adwokacik,16-13,SJ,LBETInvitational,Train
adwokacik,16-19,SJ,LBETInvitational,Dust2
adwokacik,16-7 ,SJ,LBETInvitational,Inferno
adwokacik,16-7 ,SJ,LBETInvitational,Inferno
SYF,16-14,MC,ESEAMDLSeason32Australia,mrg
BTRG,8-16 ,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Mirage
BTRG,10-16,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Train
BTRG,10-16,JiJieHao,StarSeriesi-LeagueSeason8AsiaQualifier,Train
Shidiots,7-16 ,GroundZero,LPLProLeagueSeason3,Mirage
Shidiots,10-16,GroundZero,LPLProLeagueSeason3,Overpass
Shidiots,10-16,GroundZero,LPLProLeagueSeason3,Overpass
Bizarre,22-20,Buckets,ESEAMDLSeason32Australia,nuke
Dippers,3-16,MC,ESEAMDLSeason32Australia,ovp
Bizarre,9-16,ORDER,ESEAMDLSeason32Australia,ovp
Genuine,16-12,Corvidae,LPLProLeagueSeason3,Vertigo
Genuine,16-7 ,Corvidae,LPLProLeagueSeason3,Train
Genuine,16-7 ,Corvidae,LPLProLeagueSeason3,Train
5POWER,16-3 ,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Overpass
5POWER,16-8 ,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
5POWER,16-8 ,LynnVision,StarSeriesi-LeagueSeason8AsiaQualifier,Dust2
EHOME,6-16 ,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Nuke
EHOME,13-16,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Train
EHOME,13-16,Invictus,StarSeriesi-LeagueSeason8AsiaQualifier,Train
TYLOO,16-14,AUGUST,StarSeriesi-LeagueSeason8AsiaQualifier,Inferno
TYLOO,16-14,AUGUST,StarSeriesi-LeagueSeason8AsiaQualifier,Train
TYLOO,16-14,AUGUST,StarSeriesi-LeagueSeason8AsiaQualifier,Train
Divine,16-8,MAC-51,ESEAMDLSeason32NorthAmerica,inf
Mythic,16-11,RapGang,ESEAMDLSeason32NorthAmerica,trn
Isurus,1-1,Keyd,BrasileirãoSeason1,bo2
INTZ,16-10,TheQuest,ESEAMDLSeason32NorthAmerica,ovp
W7M,0-2,DETONA,BrasileirãoSeason1,bo2
STEP,16-10,CopenhagenFlames,POWERLigaenSeason11,Nuke
STEP,5-16 ,CopenhagenFlames,POWERLigaenSeason11,Inferno
STEP,16-19,CopenhagenFlames,POWERLigaenSeason11,Train
STEP,16-19,CopenhagenFlames,POWERLigaenSeason11,Train
HAVU,16-11,SJ,OGACounterPITbyAMDandSapphireSeason6,Dust2
HAVU,14-16,SJ,OGACounterPITbyAMDandSapphireSeason6,Inferno
HAVU,15-19,SJ,OGACounterPITbyAMDandSapphireSeason6,Nuke
HAVU,15-19,SJ,OGACounterPITbyAMDandSapphireSeason6,Nuke
Espada,19-17,Se7en,LBETInvitational,Mirage
Espada,2-16 ,Se7en,LBETInvitational,Dust2
Espada,10-16,Se7en,LBETInvitational,Nuke
Espada,10-16,Se7en,LBETInvitational,Nuke
MADLions,3-16 ,MovistarRiders,LaCopa2019,Inferno
MADLions,13-16,MovistarRiders,LaCopa2019,Mirage
MADLions,13-16,MovistarRiders,LaCopa2019,Mirage
NASR,22-19,Entity,OMENChallengerSeries2019IndiaQualifier,Inferno
NASR,22-19,Entity,OMENChallengerSeries2019IndiaQualifier,Train
NASR,22-19,Entity,OMENChallengerSeries2019IndiaQualifier,Train
Nemiga,16-7 ,PACT,OGACounterPITbyAMDandSapphireSeason6,Inferno
Nemiga,16-12,PACT,OGACounterPITbyAMDandSapphireSeason6,Nuke
Nemiga,16-12,PACT,OGACounterPITbyAMDandSapphireSeason6,Nuke
Nordavind,13-16,Syman,NESTPro:EU&CISQualifier,Dust2
Nordavind,16-3 ,Syman,NESTPro:EU&CISQualifier,Vertigo
Nordavind,11-16,Syman,NESTPro:EU&CISQualifier,Inferno
Nordavind,11-16,Syman,NESTPro:EU&CISQualifier,Inferno
Maknitude,5-16 ,AGF,POWERLigaenSeason11,Overpass
Maknitude,9-16 ,AGF,POWERLigaenSeason11,Nuke
Maknitude,9-16 ,AGF,POWERLigaenSeason11,Nuke
Illuminar,16-14,SMASH,EuropeanChampionsCup,Train
Illuminar,16-9 ,SMASH,EuropeanChampionsCup,Mirage
Illuminar,16-9 ,SMASH,EuropeanChampionsCup,Mirage
OneThree,16-10,CopenhagenFlames,LBETInvitational,Inferno
OneThree,5-16 ,CopenhagenFlames,LBETInvitational,Nuke
OneThree,16-14,CopenhagenFlames,LBETInvitational,Train
OneThree,16-14,CopenhagenFlames,LBETInvitational,Train
SKADE,16-14,Heretics,SECTOR:MOSTBET,Mirage
SKADE,16-12,Heretics,SECTOR:MOSTBET,Dust2
SKADE,16-12,Heretics,SECTOR:MOSTBET,Dust2
5orgless,16-4 ,Umumba,OMENChallengerSeries2019IndiaQualifier,Overpass
